species	experts
Acridotheres cristatellus	Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir
Acridotheres tristis	Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir
Amazona sp.	Bryan_Manco
Aratinga solstitialis	Jane_Haakonsson_Sophie_O’Hehir
Atelerix albiventris	Bryan_Manco
Atelerix algirus	Bryan_Manco
Atelerix hybrid	Bryan_Manco
Boiga irregularis	Tim_Adriaens
Chiloscyllium punctatum	Latisha_Martin
Chrysemys picta	Tim_Adriaens
Colossoma macropomum	Mark_Outerbridge
Cricetulus griseus	Bryan_Manco
Dasypus novemcinctus	Bryan_Manco
Eublepharis macularius	Bryan_Manco
Gambusia sp.	Elena_Tricarico
Hemiechinus auritus	Bryan_Manco
Lampropeltis getula	Tim_Adriaens
Lepidodacylus lugubris	Fred_Burton
Mephitis mephitis	Bryan_Manco
Mesocricetus auratus	Bryan_Manco
Mustela erminea	Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir
Mustela nivalis	Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir
Mustela putorius furo	Bryan_Manco
Octodon degus	Bryan_Manco
Oreochromis sp.	Elena_Tricarico
Oreochromis spp.	Fred_Burton
Petaurus breviceps	Bryan_Manco
Phodopus roborovskii	Bryan_Manco
Phodopus sungorus	Bryan_Manco
Physignathus cocincinus	Jane_Haakonsson_Sophie_O’Hehir
Platax orbicularis	Latisha_Martin
Pogona viticeps	Bryan_Manco
Psittacula eupatria	Tim_Adriaens
Python regius	Jane_Haakonsson_Sophie_O’Hehir
Sauromalus ater	Bryan_Manco
Testudo hermanii	Bryan_Manco
Tiaris olivacea	Fred_Burton
Tilapia sp.	Fred_Burton
Trachemys scripta	Tim_Adriaens,Fred_Burton,Jane_Haakonsson_Sophie_O’Hehir
