species	n_experts
Capra hircus	5
Myiopsitta monachus	5
Herpestes auropunctatus	4
Iguana iguana	4
Molothrus bonariensis	4
Pantherophis guttatus	4
Procyon lotor	4
Anolis carolinensis	3
Anolis equestris	3
Aratinga erythrogenys	3
Canis familiaris	3
Felis catus	3
Python molurus bivittatus	3
Ramphotyphlops braminus	3
Rattus norvegicus	3
Rattus rattus	3
Sus scrofa	3
Trachemys scripta	3
Acridotheres cristatellus	2
Acridotheres tristis	2
Amazona auropalliata	2
Amazona ochrocephala	2
Anolis grahami	2
Anolis sagrei	2
Aratinga pertinax	2
Cyclura nubila nubila	2
Eleutherodactylus cocqui	2
Gallus gallus	2
Gastrophryne carolinensis	2
Hemidactylus frenatus	2
Mustela erminea	2
Mustela nivalis	2
Passer domesticus	2
Pitangus sulphuratus	2
Psittacula krameri	2
Sturnus vulgaris	2
Amazona sp.	1
Anas platyrhynchos	1
Aratinga solstitialis	1
Atelerix albiventris	1
Atelerix algirus	1
Atelerix hybrid	1
Boa constrictor imperator	1
Boiga irregularis	1
Bos taurus	1
Bufo marinus	1
Caiman crocodilus	1
Chamaeleo calyptratus	1
Chiloscyllium punctatum	1
Chlorocebus pygerythrus	1
Chrysemys picta	1
Colossoma macropomum	1
Columba livia	1
Cricetulus griseus	1
Dasyprocta punctata	1
Dasypus novemcinctus	1
Equus asinus	1
Equus caballus	1
Estrilda astrild	1
Eublepharis macularius	1
Forpus passerinus	1
Gambusia sp.	1
Hemidactylus mabouia	1
Hemiechinus auritus	1
Herpestes javanicus	1
Lampropeltis getula	1
Leiocephalus carinatus	1
Lepidodacylus lugubris	1
Lonchura malacca	1
Lonchura punctulata	1
Mephitis mephitis	1
Mesocricetus auratus	1
Mus musculus	1
Mustela putorius furo	1
Octodon degus	1
Oreochromis sp.	1
Oreochromis spp.	1
Oryctolagus cuniculus	1
Osteopilus septentrionalis	1
Pantherophis alleghaniensis	1
Petaurus breviceps	1
Phodopus roborovskii	1
Phodopus sungorus	1
Physignathus cocincinus	1
Platax orbicularis	1
Pogona viticeps	1
Psittacula eupatria	1
Pycnonotus cafer	1
Pygocentrus nattereri	1
Python regius	1
Sauromalus ater	1
Streptopelia decaocto	1
"Sylvilagus floridianus
nigronuchalis"	1
Testudo hermanii	1
Tiaris olivacea	1
Tilapia sp.	1
Tilapia zillii	1
Varanus exanthematicus	1
Xenopus laevis	1
